idAnnuncio,titolo,descrizione,costo,venditore,categoria
1,One-Punch Man,Ottime condizioni,10,ddwxex@xewcx.it,shonen
2,My Hero Academia,"Ottime condizioni, come nuovo!",8,ddwxex@xewcx.it,shonen
3,Dragonball,"Come nuovo, letto una volta e riposto in libreria.",7,venditore1@gmail.com,shonen
4,Jujutsu Kaisen,Qualche ammaccatura sulla copertina ma buone condizioni. Solo scambio a mano.,15,venditore2@gmail.com,shonen
5,One-Punch Man,Variant del primo volume come nuova. Non scambi a mano e prezzo non trattabile.,80,venditore1@gmail.com,shonen
6,Doraemon,Un manga perfetto come prima lettura per un bambino,5,venditore1@gmail.com,kodomo
7,Demon Slayer - Kimetsu no yaiba,"Come nuovo, letto una volta e riposto in libreria.",6,venditore1@gmail.com,shonen
8,Beyblade,Un manga per bambini molto bello.,4,venditore2@gmail.com,kodomo
9,KONJIKI NO GASH BELL!!,"Volume raro, ha segnato l'infanzia di molti ragazzi.",15,venditore2@gmail.com,shonen
10,Akira,"Come nuovo, letto una volta e riposto in libreria.",15,venditore1@gmail.com,seinen
